brand,name,price,rating,category,product_type
glossier,Haloscope,27.0,,highlighter,foundation
glossier,Perfecting Skin Tint,32.0,,,foundation
glossier,Generation G,20.0,,,lipstick
nyx,Fly With Me Mascara,9.0,,,mascara
nyx,Propel My Eyes Mascara,9.0,,,mascara
nyx,Proof It! Waterproof Mascara Top Coat,7.0,,,mascara
nyx,Big & Loud Lash Primer,7.0,,,mascara
nyx,Double Stacked Mascara,15.0,,,mascara
nyx,Doll Eye Mascara,9.5,,,mascara
nyx,The Skinny Mascara,7.0,,,mascara
nyx,Worth the Hype Volumizing & Lengthening Mascara,8.0,,,mascara
nyx,Boudoir Mascara Collection,6.0,,,mascara
nyx,Color Mascara,7.0,,,mascara
nyx,Super Luscious Mascara,7.0,,,mascara
nyx,Eyebrow Marker,9.75,,,eyebrow
nyx,Eyebrow Kit With Stencil,15.0,,,eyebrow
nyx,Eyebrow Push-Up Bra,10.0,,,eyebrow
nyx,3-Dimensional Brow Marker,10.0,,,eyebrow
nyx,Eyebrow Shaper,8.75,,,eyebrow
nyx,Build 'Em Up Brow Powder,8.0,,,eyebrow
nyx,3-in-1 Brow Pencil,13.0,,,eyebrow
nyx,Proof It! Waterproof Eyebrow Primer,7.0,,,eyebrow
nyx,Eyebrow Powder Pencil,6.5,,,eyebrow
nyx,Precision Brow Pencil,10.0,,,eyebrow
nyx,Sculpt & Highlight Brow Contour,10.0,,,eyebrow
nyx,Control Freak Eyebrow Gel,6.0,,,eyebrow
nyx,Eyebrow Cake Powder,6.0,,,eyebrow
nyx,Tinted Brow Mascara,7.0,,,eyebrow
nyx,Auto Eyebrow Pencil,4.75,,,eyebrow
nyx,Eyebrow Gel,7.0,,,eyebrow
nyx,Tame & Frame Brow Pomade,7.0,,,eyebrow
nyx,Micro Brow Pencil,10.0,,,eyebrow
nyx,Holographic Halo Cream Eyeliner,11.0,,cream,eyeliner
nyx,Cake That! Powder Eyeliner,8.0,,cream,eyeliner
nyx,Epic Black Mousse Liner,10.0,,cream,eyeliner
nyx,Cosmic Gel Liner,10.0,,gel,eyeliner
nyx,Gel Liner And Smudger,9.0,,gel,eyeliner
nyx,Metallic Eyeliner,8.0,,pencil,eyeliner
nyx,Tres Jolie Gel Pencil Liner,12.0,,pencil,eyeliner
nyx,Faux Whites Eye Brightener,8.0,,pencil,eyeliner
nyx,Faux Blacks Eyeliner,8.0,,pencil,eyeliner
nyx,Collection Noir,6.0,,pencil,eyeliner
nyx,Slim Eye Pencil,4.0,,pencil,eyeliner
nyx,Retractable Eye Liner,5.0,,pencil,eyeliner
nyx,Slide On Pencil,8.0,,pencil,eyeliner
nyx,Jumbo Eye Pencil,4.5,,pencil,eyeliner
nyx,Two Timer Dual Ended Eyeliner,10.0,,liquid,eyeliner
nyx,Strictly Vinyl Eyeliner,7.0,,liquid,eyeliner
nyx,Collection Chocolate,6.0,,pencil,eyeliner
nyx,Super Fat Eye Marker,10.0,,liquid,eyeliner
nyx,Super Skinny Eye Marker,9.5,,liquid,eyeliner
nyx,Felt Tip Liner,9.5,,liquid,eyeliner
nyx,The Curve,15.0,,liquid,eyeliner
nyx,Colored Felt Tip Liner,10.0,,liquid,eyeliner
nyx,Vinyl Liquid Liner,7.0,,liquid,eyeliner
nyx,That's The Point Eyeliner,10.0,,liquid,eyeliner
nyx,White Liquid Liner,7.0,,liquid,eyeliner
nyx,Studio Liquid Liner,4.5,,liquid,eyeliner
nyx,Epic Ink Liner,8.0,,liquid,eyeliner
nyx,Glam Liner Aqua Luxe Collection,5.5,,liquid,eyeliner
nyx,Matte Liquid Liner,7.0,,liquid,eyeliner
nyx,Vivid Brights Liner,7.0,,liquid,eyeliner
nyx,SFX Setting Powder,10.0,,powder,foundation
nyx,Holographic Halo Finishing Powder,12.0,,powder,foundation
nyx,Blotting Powder,12.0,,powder,foundation
nyx,#NOFILTER Finishing Powder,12.0,,powder,foundation
nyx,Color Correcting Powder,10.0,,powder,foundation
nyx,High Definition Finishing Powder Mini,3.5,,powder,foundation
nyx,Primal Colors,5.0,,powder,foundation
nyx,Radiant Finishing Powder,9.0,,powder,foundation
nyx,Mineral Finishing Powder,10.0,,powder,foundation
nyx,High Definition Finishing Powder,10.0,,powder,foundation
nyx,Studio Finishing Powder,10.0,,powder,foundation
nyx,Tango With Bronzing Powder,10.0,,,bronzer
nyx,Illuminator,9.0,,,bronzer
nyx,Matte Bronzer,9.0,,,bronzer
nyx,Sweet Cheeks Blush Palette,20.0,,,blush
nyx,Cheek Contour Duo Palette,9.0,,,blush
nyx,High Definition Blush Pro Refills,6.0,,,blush
nyx,Bright Idea Illuminating Stick,8.0,,,bronzer
nyx,Rouge Cream Blush,6.0,,,blush
nyx,Mosaic Powder Blush,7.0,,,bronzer
nyx,Baked Blush,7.0,,,blush
nyx,Bronzer & Blusher Combo,9.0,,,bronzer
nyx,High Definition Blush,6.5,,,blush
nyx,Ombre Blush,10.0,,,blush
nyx,Stick Blush,6.0,,,blush
nyx,Powder Blush,5.0,,,bronzer
nyx,Gotcha Covered Concealer Pencil,7.0,,concealer,foundation
nyx,"Conceal, Correct, Contour Palette",12.0,,concealer,foundation
nyx,Wonder Pencil,4.5,,pencil,eyeliner
nyx,Dark Circle Concealer,6.0,,concealer,foundation
nyx,Gotcha Covered Concealer,6.0,,concealer,foundation
nyx,Color Correcting Palette,12.0,,concealer,foundation
nyx,Concealer Jar,5.0,,concealer,foundation
nyx,HD Photogenic Concealer Wand,5.0,,concealer,foundation
nyx,Tinted Moisturizer,10.0,,,foundation
nyx,Define & Refine Powder Foundation,12.0,,powder,foundation
nyx,BB Cream,13.0,,,foundation
nyx,Invincible Fullest Coverage Foundation,12.0,,,foundation
nyx,Mineral Stick Foundation,10.0,,,foundation
nyx,Stay Matte But Not Flat Liquid Foundation,7.5,,,foundation
nyx,Stay Matte But Not Flat Powder Foundation,9.5,,powder,foundation
nyx,HD Studio Photogenic Foundation,18.0,,,foundation
nyx,Hydra Touch Powder Foundation,10.0,,powder,foundation
nyx,Pro Foundation Mixer,10.0,,,foundation
nyx,Total Control Drop Foundation,14.0,,,foundation
nyx,#LOTD Lip Of The Day Liquid Lip Liner,7.0,,,lip_liner
nyx,Slide On Lip Pencil,8.0,,,lip_liner
nyx,Retractable Lip Liner,5.0,,,lip_liner
nyx,Suede Matte Lip Liner,4.0,,,lip_liner
nyx,Slim Lip Pencil,4.0,,,lip_liner
nyx,Luv Out Loud Liquid Lipstick,7.0,,lipstick,lipstick
nyx,V'Amped Up! Lip Top Coat,6.0,,lipstick,lipstick
nyx,Simply Pink Lip Cream,6.5,,lipstick,lipstick
nyx,Simply Red Lip Cream,6.5,,lipstick,lipstick
nyx,Simply Nude Lip Cream,6.5,,lipstick,lipstick
nyx,Macaron Lippies,6.5,,lipstick,lipstick
nyx,In Your Element Lipstick - Metal,9.0,,lipstick,lipstick
nyx,Whipped Lip & Cheek Soufflé,6.0,,,blush
nyx,Wicked Lippies,6.5,,lipstick,lipstick
nyx,Simply Vamp Lip Cream,6.5,,lipstick,lipstick
nyx,In Your Element Lipstick - Water,9.0,,lipstick,lipstick
nyx,In Your Element Lipstick - Wind,9.0,,lipstick,lipstick
nyx,In Your Element Lipstick - Fire,9.0,,lipstick,lipstick
nyx,In Your Element Lipstick - Air,9.0,,lipstick,lipstick
nyx,Jumbo Lip Pencil,4.5,,,lip_liner
nyx,In Your Element Lipstick - Earth,9.0,,lipstick,lipstick
nyx,Butter Lipstick,6.5,,lipstick,lipstick
nyx,Extra Creamy Round Lipstick,0.0,,lipstick,lipstick
nyx,Matte Lipstick,6.0,,lipstick,lipstick
nyx,Pro Lip Cream Palette,12.0,,lipstick,lipstick
nyx,Full Throttle Lipstick,7.0,,lipstick,lipstick
nyx,Plush Gel Lipstick,7.0,,lipstick,lipstick
nyx,Velvet Matte Lipstick,7.0,,lipstick,lipstick
nyx,Turnt Up! Lipstick,6.5,,lipstick,lipstick
nyx,Pin-Up Pout Lipstick,8.0,,lipstick,lipstick
nyx,Super Cliquey Matte Lipstick,9.0,,lipstick,lipstick
nyx,Powder Puff Lippie Powder Lip Cream,8.5,,lipstick,lipstick
nyx,Lip Lustre Glossy Lip Tint,7.0,,lip_gloss,lipstick
nyx,Cosmic Metals Lip Cream,7.5,,lip_gloss,lipstick
nyx,Epic Ink Lip Dye,7.0,,lip_gloss,lipstick
nyx,Strictly Vinyl Lip Gloss,8.0,,lip_gloss,lipstick
nyx,Duo Chromatic Lip Gloss,8.0,,lip_gloss,lipstick
nyx,Slip Tease Full Color Lip Oil,7.0,,lip_gloss,lipstick
nyx,Liquid Suede Metallic Matte,7.5,,lipstick,lipstick
nyx,Liquid Suede Cream Lipstick,7.0,,lipstick,lipstick
nyx,Lip Lingerie,7.0,,lipstick,lipstick
nyx,Soft Matte Lip Cream,6.5,,lipstick,lipstick
nyx,Soft Matte Metallic Lip Cream,7.0,,liquid,lipstick
fenty,MATTEMOISELLE - Plush Matte Lipstick,18.0,,lipstick,lipstick
fenty,ECLIPSE - 2-in-1 Glitter Release Eyeliner,20.0,,liquid,eyeliner
fenty,COSMIC GLOSS - Lip Glitter,19.0,,lip_gloss,lipstick
fenty,MATCH STIX - Matte Skinstick,25.0,,concealer,foundation
clinique,Even Better&trade; Compact Makeup Broad Spectrum SPF 15,32.0,,,foundation
clinique,Redness Solutions Makeup<BR>Broad Spectrum SPF 15<BR>With Probiotic Technology,28.0,,,foundation
clinique,Stay-Matte Oil-Free Makeup,26.0,,,foundation
clinique,Repairwear Laser Focus&trade; All-Smooth Makeup Broad Spectrum SPF 15,36.0,,,foundation
clinique,Perfectly Real&trade; Compact Makeup,28.0,,,foundation
clinique,Chubby in the Nude&trade; Foundation Stick,25.0,,,foundation
clinique,Super City Block™ BB Cushion Compact Broad Spectrum SPF 50,17.5,,,foundation
clinique,Superpowder Double Face Makeup,24.0,,,foundation
clinique,Perfectly Real&trade; Makeup,28.0,,,foundation
clinique,Beyond Perfecting&trade; Powder Foundation + Concealer,28.0,,,foundation
clinique,Acne Solutions&trade; Liquid Makeup,28.0,,,foundation
clinique,Superbalanced&trade; Makeup,26.0,,,foundation
clinique,Stay-Matte Sheer Pressed Powder,26.0,,,foundation
clinique,Superbalanced™ Silk Makeup Broad Spectrum SPF 15,26.0,,,foundation
clinique,Even Better&trade; Makeup Broad Spectrum SPF 15,28.0,,,foundation
clinique,Beyond Perfecting&trade; Foundation + Concealer,28.0,,,foundation
clinique,CliniqueFIT™ Workout Makeup Broad Spectrum SPF 40,29.5,,,foundation
clinique,Almost Powder Makeup,28.0,,,foundation
clinique,Clinique BIY&trade; Blend It Yourself Pigment Drops,33.0,,,foundation
clinique,Even Better Glow&trade; Light Reflecting Makeup Broad Spectrum SPF 15,28.0,,,foundation
clinique,Acne Solutions&trade; Clearing Concealer,18.0,,concealer,foundation
clinique,Line Smoothing Concealer,20.0,,concealer,foundation
clinique,All About Eyes&trade; Concealer,20.0,,concealer,foundation
clinique,Advanced Concealer,20.0,,concealer,foundation
clinique,Airbrush Concealer&trade;,22.0,,concealer,foundation
clinique,Continuous Coverage Makeup Broad Spectrum SPF 15,26.0,,,foundation
clinique,Beyond Perfecting&trade; Super Concealer Camouflage + 24-Hour Wear,19.5,,concealer,foundation
clinique,Moisture Surge&trade; CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,39.0,,bb_cc,foundation
clinique,Acne Solutions BB Cream Broad Spectrum SPF 40,39.0,,,foundation
clinique,Age Defense BB Cream<BR>Broad Spectrum SPF 30,38.5,,bb_cc,foundation
clinique,Super City Block™ BB Cushion Compact Broad Spectrum SPF 50 Refill,25.0,,,foundation
clinique,Wear Everywhere Neutrals All About Shadow&trade; 8-Pan Palette,37.0,,palette,eyeshadow
clinique,Pretty Easy™ Eye Palette,22.25,,palette,eyeshadow
clinique,All About Shadow&trade; Primer for Eyes,21.0,,,eyeshadow
clinique,Lid Smoothie&trade; Antioxidant 8-Hour Eye Colour,21.0,,,eyeshadow
clinique,Touch Base For Eyes&trade;,17.0,,,eyeshadow
clinique,Lid Pop™,18.0,,,eyeshadow
clinique,All About Shadow&trade; Single,16.5,,,eyeshadow
clinique,Chubby Stick&trade; Shadow Tint For Eyes,17.5,,pencil,eyeshadow
clinique,All About Shadow&trade; Quad,28.5,,,eyeshadow
clinique,All About Shadow&trade; Duo,22.0,,,eyeshadow
clinique,Clinique + Jonathan Adler: Lid Pop,14.0,,,eyeshadow
clinique,Clinique + Jonathan Adler: Limited Edition Chic Colour Kit,27.3,,palette,eyeshadow
clinique,Cream Shaper&trade; For Eyes,17.5,,,eyeliner
clinique,Quickliner&trade; For Eyes,17.5,,,eyeliner
clinique,High Impact™ Custom Black Kajal,17.5,,,eyeliner
clinique,Kohl Shaper For Eyes,17.5,,,eyeliner
clinique,Quickliner&#8482; For Eyes Intense,17.5,,,eyeliner
clinique,Brush-On Cream Liner,17.5,,,eyeliner
clinique,Water-Resistant Eyeliner,17.5,,,eyeliner
clinique,Clinique Skinny Stick&trade;,17.0,,,eyeliner
clinique,Pretty Easy™ Liquid Eyelining Pen,21.0,,,eyeliner
clinique,Instant Lift For Brows,9.0,,,eyebrow
clinique,Superfine Liner For Brows,18.0,,,eyebrow
clinique,Pretty Easy Brow Palette,34.5,,,eyebrow
clinique,Brow Keeper,18.0,,,eyebrow
clinique,Just Browsing Brush-On Styling Mousse,18.0,,,eyebrow
clinique,Brow Shaper,18.0,,,eyebrow
clinique,Chubby Stick&trade; Sculpting Highlight,23.0,,contour,foundation
clinique,Chubby Stick&trade; Sculpting Contour,23.0,,contour,foundation
clinique,Limited Edition Highlighting Kit,39.0,,contour,foundation
clinique,Blended Face Powder and Brush,26.0,,,bronzer
clinique,Up-lighting&trade; Liquid Illuminator,28.0,,,bronzer
clinique,True Bronze&trade; Pressed Powder Bronzer,27.0,,,bronzer
clinique,Uplighting Illuminating Powder,27.0,,,bronzer
clinique,Sun-Kissed Face Gelee Complexion Multitasker,28.0,,,bronzer
fenty,PRO FILT'R - Soft Matte Longwear Foundation,34.0,,,foundation
clinique,Sculptionary&trade; Cheek Contouring Palette,34.0,,,blush
clinique,Blushing Blush&trade; Powder Blush,23.0,,,blush
clinique,Cheek Pop&trade;,23.0,,,blush
clinique,Clinique + Jonathan Adler: Cheek Pop,18.9,,,blush
clinique,Soft-Pressed Powder Blusher,23.0,,,blush
clinique,Chubby Stick&trade; Cheek Colour Balm,23.0,,,blush
clinique,Clinique Pop&trade; Oil Lip & Cheek Glow,,,,blush
clinique,CliniqueFIT™  Lip + Cheek Flush,23.0,,,blush
clinique,Chubby&trade; Plump & Shine Liquid Lip Plumping Gloss,17.5,,lip_gloss,lipstick
clinique,Quickliner&trade; For Lips,17.5,,,lip_liner
clinique, Quickliner&trade; For Lips Intense,17.5,,,lip_liner
clinique,Almost Lipstick,17.5,,lipstick,lipstick
clinique,Butter Shine&trade; Lipstick,8.5,,lipstick,lipstick
clinique,High Impact&trade; Lip Colour,17.5,,lipstick,lipstick
clinique,Chubby Stick Intense&trade; Moisturizing Lip Colour Balm,17.0,,lipstick,lipstick
clinique,Long Last Soft Matte Lipstick,17.5,,lipstick,lipstick
clinique,Long Last Lipstick,17.0,,lipstick,lipstick
clinique,Clinique Pop Liquid™ Matte Lip Colour + Primer,18.5,,lipstick,lipstick
clinique,Chubby Stick Baby Tint&trade; Moisturizing Lip Colour Balm,17.5,,lipstick,lipstick
clinique,Clinique + Jonathan Adler: Pop Lip Colour + Primer,15.4,,lipstick,lipstick
clinique,Different Lipstick,17.5,,lipstick,lipstick
clinique,Clinique Pop™ Lacquer Lip Colour + Primer  ,18.5,,lipstick,lipstick
clinique,Clinique Pop Glaze&trade; Sheer Lip Colour + Primer,18.5,,lipstick,lipstick
clinique,Chubby Stick&trade; Moisturizing Lip Colour Balm,17.5,,lipstick,lipstick
clinique,Clinique Pop™ Matte Lip Colour + Primer,18.5,,lipstick,lipstick
clinique,Clinique Pop&trade; Lip Colour + Primer,18.5,,lipstick,lipstick
clinique,Clinique Pop&trade; Lip Shadow Cushion Matte Lip Powder,19.5,,lipstick,lipstick
dior,"
                            Junon
                            ",20.0,,,nail_polish
dior,"
                            Matte
                            ",20.0,,,nail_polish
dior,"
                            Poison Metal
                            ",20.0,,,nail_polish
dior,"
                            Jungle Matte
                            ",20.0,,,nail_polish
dior,"
                            Miss Satin
                            ",20.0,,,nail_polish
dior,"
                            Mineral
                            ",20.0,,,nail_polish
dior,"
                            Sauvage
                            ",20.0,,,nail_polish
dior,"
                            Diabolo
                            ",20.0,,,nail_polish
dior,"
                            Tease
                            ",20.0,,,nail_polish
dior,"
                            Precious Rocks
                            ",20.5,,,nail_polish
dior,"
                            Amethyst
                            ",20.5,,,nail_polish
dior,"
                            Emerald
                            ",20.5,,,nail_polish
dior,"
                            Grenat
                            ",0.0,,,nail_polish
dior,"
                            Ruby
                            ",20.5,,,nail_polish
dior,All-In-Brow 3D,43.0,,,eyebrow
dior,Sourcils Poudre,20.0,,,eyebrow
dior,DIORSHOW BROW STYLER,20.0,,,eyebrow
dior,DIORSHOW BOLD BROW - Christmas 2017 Limited Edition,22.0,,,eyebrow
dior,DIORSHOW BOLD BROW,22.0,,,eyebrow
dior,Diorshow Art Pen,27.5,,,eyeliner
dior,Diorliner,27.0,,,eyeliner
dior,Dior Addict It-Line,26.5,,,eyeliner
dior,Eyeliner Waterproof,20.0,,,eyeliner
dior,DIORSHOW KHÔL,19.5,,,eyeliner
dior,Diorshow Pro Liner Waterproof,20.5,,,eyeliner
dior,Diorshow Iconic,25.5,,,mascara
dior,Diorshow Iconic Overcurl,25.5,,,mascara
dior,Dior Addict It-Lash,25.5,,,mascara
dior,Diorshow New Look,25.5,,,mascara
dior,Diorshow Black Out,25.5,,,mascara
dior,DIORSHOW,25.5,,,mascara
dior,DIORSHOW PUMP'N'VOLUME,25.5,,,mascara
dior,Diorshow Maximizer 3D,25.5,,,mascara
dior,Holiday Diorshow Pump n' Volume Set,25.5,,,eyeshadow
dior,Couture Colour Wardrobe palette,65.0,,palette,eyeshadow
dior,Colour Design Eye palette,45.0,,palette,eyeshadow
dior,Eye Reviver,43.0,,,eyeshadow
dior,5 COULEURS DESIGNER,45.0,,,eyeshadow
dior,5 COULEURS PRECIOUS ROCKS - Christmas 2017 Limited Edition,43.5,,,eyeshadow
dior,5 COULEURS,45.0,,,eyeshadow
dior,Diorshow Mono,25.0,,,eyeshadow
dior,Diorshow Fusion Mono Matte,0.0,,,eyeshadow
dior,Diorshow Fusion Mono,25.5,,,eyeshadow
dior,Backstage Eye Prime,22.5,,,eyeshadow
dior,Diorskin Rosy Glow,32.0,,,blush
dior,DIORBLUSH PRECIOUS ROCKS - Christmas 2017 Limited Edition,0.0,,,blush
dior,Diorblush Sculpt,32.5,,,blush
dior,Diorblush,32.5,,,blush
dior,Diorskin Nude Air Tan,36.5,,,bronzer
dior,Diorskin Nude Air Glow Powder,39.5,,powder,foundation
dior,Diorskin Nude Air loose powder,36.5,,powder,foundation
dior,Diorskin nude air powder,36.5,,powder,foundation
dior,DIORIFIC PRECIOUS ROCKS - Christmas 2017 Limited Edition,40.0,,powder,foundation
dior,Diorskin Forever & Ever Control Loose Powder,36.5,,powder,foundation
dior,Fix It Colour,23.5,,concealer,foundation
dior,Diorskin Forever Undercover,21.0,,concealer,foundation
dior,FIX IT,23.5,,concealer,foundation
dior,FLASH LUMINIZER,29.0,,highlighter,foundation
dior,Dior Addict Lip Maximizer,25.0,,lip_gloss,lipstick
dior,Dior Addict Ultra-Gloss,24.0,,lip_gloss,lipstick
dior,Cheek & Lip Glow,27.5,,,blush
dior,DIORIFIC MATTE FLUID - Christmas Look 2017 Limited Edition,27.5,,lipstick,lipstick
dior,DIORIFIC KHÔL,29.5,,lipstick,lipstick
dior,Diorific,29.5,,lipstick,lipstick
dior,Dior Addict Lipstick - Limited Edition,27.5,,lipstick,lipstick
dior,Dior Addict Lipstick,27.5,,lipstick,lipstick
dior,DIOR ADDICT LACQUER STICK,27.5,,lipstick,lipstick
dior,DIOR ADDICT LIP TATTOO,25.0,,lip_gloss,lipstick
dior,ROUGE DIOR COLLECTION COUTURE - Christmas Look 2017 Limited Edition,29.5,,lipstick,lipstick
dior,Dior Holiday Couture Collection,77.0,,lipstick,lipstick
dior,ROUGE DIOR - Fall 2017 Limited Edition,27.5,,lipstick,lipstick
dior,Rouge Dior,27.5,,lipstick,lipstick
dior,Rouge Dior Double Rouge,27.5,,lipstick,lipstick
dior,Rouge Dior Liquid,26.5,,lipstick,lipstick
iman,Cover Cream Clay Medium Deep,,,cream,foundation
iman,Corrective Concealer Clay,,,concealer,foundation
iman,CC Correct & Cover Clay Medium Deep,,,bb_cc,foundation
iman,Luxury Blushing Powder Posh,,,powder,blush
iman,Skin Tone Evener BB Crème Clay Medium,,,bb_cc,foundation
iman,Perfect Eye Pencil Deception,,,pencil,eyeshadow
iman,Volumize Mascara Black Ink,,,,mascara
iman,Perfect Mascara Black,,,,mascara
iman,Amplify Mascara Black Ink,,,,mascara
iman,Perfect Eyebrow Pencil Blackest Brown,,,,eyebrow
iman,Perfect Eye Pencil Ebony,,,pencil,eyeliner
iman,Luxury Moisturizing Lipstick IMAN Nude,,,lipstick,lipstick
iman,Luxury Eye Shadow Bejeweled,,,,eyeshadow
benefit,the POREfessional: agent zero shine,39.0,,powder,foundation
benefit,hello flawless! powder foundation,44.0,,powder,foundation
benefit,dallas dusty rose face powder,36.0,,,bronzer
benefit,rockateur,36.0,,,bronzer
benefit,cheekathon bronzer & blush palette,75.0,,,bronzer
benefit,hoola matte bronzer travel size mini,20.0,,,bronzer
benefit,dew the hoola liquid bronzer,36.0,,,bronzer
benefit,hoola matte bronzer ,36.0,,,bronzer
benefit,high brow glow brow highlighter ,29.0,,,eyebrow
benefit,high brow eyebrow highlighter ,29.0,,,eyebrow
benefit,brow zings eyebrow shaping kit ,42.0,,,eyebrow
benefit,BROWVO! conditioning eyebrow primer ,36.0,,,eyebrow
benefit,"precisely, my brow eyebrow pencil ",30.0,,,eyebrow
benefit,ka-BROW! eyebrow cream-gel color ,30.0,,,eyebrow
benefit,goof proof eyebrow pencil ,30.0,,,eyebrow
benefit,gimme brow volumizing eyebrow gel,30.0,,,eyebrow
benefit,bigger & bolder brows kit,44.0,,,eyebrow
benefit,defined & refined brows kit,44.0,,,eyebrow
benefit,soft & natural brows kit,44.0,,,eyebrow
benefit,hydra-smooth lip color,23.0,,lipstick,lipstick
benefit,BIG sexy lipstick set,38.0,,lipstick,lipstick
benefit,ultra plush lip gloss,19.0,,lip_gloss,lipstick
benefit,hoola ultra plush,21.0,,lip_gloss,lipstick
benefit,CORALista ultra plush,21.0,,lip_gloss,lipstick
benefit,rockateur ultra plush,21.0,,lip_gloss,lipstick
benefit,hervana ultra plush,21.0,,lip_gloss,lipstick
benefit,dandelion ultra plush,21.0,,lip_gloss,lipstick
benefit,sugarbomb ultra plush,21.0,,lip_gloss,lipstick
benefit,lollibalm,23.0,,lip_gloss,lipstick
benefit,chachabalm,23.0,,lip_gloss,lipstick
benefit,posiebalm,23.0,,lip_gloss,lipstick
benefit,benebalm,23.0,,lip_gloss,lipstick
benefit,BADgal waterproof mascara,26.0,,,mascara
benefit,they're real! lengthening mascara mini,16.0,,,mascara
benefit,BADgal lash volumizing mascara,26.0,,,mascara
benefit,roller lash curling mascara ,31.0,,,mascara
benefit,they're real! lengthening mascara ,31.0,,,mascara
benefit,they're real! tinted eyelash primer,31.0,,,mascara
benefit,BADgal waterproof eyeliner,26.0,,liquid,eyeliner
benefit,creaseless cream eyeshadow,26.0,,liquid,eyeliner
benefit,they're real! gel eyeliner pen ,31.0,,liquid,eyeliner
smashbox,Bronze Lights,34.0,,,bronzer
smashbox,O-Glow ,29.0,,,blush
smashbox,Baked Fusion Soft Lights,32.0,,,bronzer
smashbox,L.A. Lights Palette,35.0,,,blush
smashbox,Brow Tech Highlight Stick,21.0,,,eyebrow
smashbox,Brow Tech Gloss Stick,21.0,,,eyebrow
smashbox,Brow Tech Matte Pencil,21.0,,,eyebrow
smashbox,Brow Tech Shaping Powder,25.0,,,eyebrow
smashbox,Brow Tech To Go,28.0,,,eyebrow
smashbox,24 Hour CC Spot Concealer,25.0,,bb_cc,foundation
smashbox,Camera Ready BB Cream Eyes SPF 15,25.0,,bb_cc,foundation
smashbox,Photo Filter Foundation,42.0,,liquid,foundation
smashbox,Halo Hydrating Powder,49.0,,liquid,foundation
smashbox,Halo HD Foundation SPF 15,45.0,,liquid,foundation
smashbox,Camera Ready CC Cream,42.0,,bb_cc,foundation
smashbox,Camera Ready BB Cream SPF 35,39.0,,bb_cc,foundation
smashbox,Camera Ready BB Water SPF 30,42.0,,bb_cc,foundation
